,activation,match,Loss,Accuracy,Recall,Precision,F1
77,LeakyReLU,"[64, 8, 20]",0.42646533250808716,0.8064516186714172,0.7441860437393188,0.7111111283302307,0.7272727349542142
22,relu,"[32, 4, 30]",0.44030845165252686,0.8064516186714172,0.7441860437393188,0.7111111283302307,0.7272727349542142
10,relu,"[64, 4, 30]",0.44161146879196167,0.8064516186714172,0.7441860437393188,0.7111111283302307,0.7272727349542142
21,relu,"[32, 4, 20]",0.4263409972190857,0.8064516186714172,0.6976743936538696,0.7317073345184326,0.7142857095213968
82,LeakyReLU,"[64, 4, 30]",0.43381235003471375,0.8064516186714172,0.7441860437393188,0.7111111283302307,0.7272727349542142
89,LeakyReLU,"[32, 8, 20]",0.4221822917461395,0.8064516186714172,0.6976743936538696,0.7317073345184326,0.7142857095213968
67,tanh,"[32, 8, 40]",0.43977269530296326,0.8064516186714172,0.7209302186965942,0.7209302186965942,0.7209302186965942
4,relu,"[64, 8, 10]",0.492951899766922,0.8064516186714172,0.7441860437393188,0.7111111283302307,0.7272727349542142
33,elu,"[64, 4, 20]",0.43313875794410706,0.8064516186714172,0.8139534592628479,0.686274528503418,0.7446808498900843
6,relu,"[64, 8, 30]",0.47102808952331543,0.8064516186714172,0.7209302186965942,0.7209302186965942,0.7209302186965942
5,relu,"[64, 8, 20]",0.4463505446910858,0.7983871102333069,0.6976743936538696,0.7142857313156128,0.7058823484862958
55,tanh,"[64, 8, 40]",0.42094478011131287,0.7983871102333069,0.7441860437393188,0.695652186870575,0.7191011292241224
92,LeakyReLU,"[32, 4, 10]",0.5617480874061584,0.7983871102333069,0.6511628031730652,0.7368420958518982,0.691358027580289
53,tanh,"[64, 8, 20]",0.41846588253974915,0.7983871102333069,0.7674418687820435,0.6875,0.7252747289887691
50,tanh,"[64, 16, 30]",0.4332483410835266,0.7983871102333069,0.7674418687820435,0.6875,0.7252747289887691
9,relu,"[64, 4, 20]",0.41250285506248474,0.7983871102333069,0.7209302186965942,0.7045454382896423,0.712643663072731
76,LeakyReLU,"[64, 8, 10]",0.4638032913208008,0.7983871102333069,0.6279069781303406,0.75,0.683544304618811
38,elu,"[32, 16, 30]",0.4414316713809967,0.7983871102333069,0.7674418687820435,0.6875,0.7252747289887691
31,elu,"[64, 8, 40]",0.44897928833961487,0.7983871102333069,0.7441860437393188,0.695652186870575,0.7191011292241224
30,elu,"[64, 8, 30]",0.44774073362350464,0.7983871102333069,0.7674418687820435,0.6875,0.7252747289887691
66,tanh,"[32, 8, 30]",0.43208935856819153,0.7983871102333069,0.7209302186965942,0.7045454382896423,0.712643663072731
81,LeakyReLU,"[64, 4, 20]",0.425824910402298,0.7903226017951965,0.7441860437393188,0.6808510422706604,0.7111110980863923
65,tanh,"[32, 8, 20]",0.43897056579589844,0.7903226017951965,0.6976743936538696,0.6976743936538696,0.6976743936538696
95,LeakyReLU,"[32, 4, 40]",0.45184141397476196,0.7903226017951965,0.6976743936538696,0.6976743936538696,0.6976743936538696
37,elu,"[32, 16, 20]",0.43862220644950867,0.7903226017951965,0.7674418687820435,0.6734693646430969,0.7173912948691098
62,tanh,"[32, 16, 30]",0.4351942539215088,0.7903226017951965,0.7209302186965942,0.6888889074325562,0.7045454576242065
16,relu,"[32, 8, 10]",0.4931333363056183,0.7903226017951965,0.6511628031730652,0.7179487347602844,0.6829268437350953
57,tanh,"[64, 4, 20]",0.4255281686782837,0.7903226017951965,0.7441860437393188,0.6808510422706604,0.7111110980863923
49,tanh,"[64, 16, 20]",0.43574315309524536,0.7903226017951965,0.7209302186965942,0.6888889074325562,0.7045454576242065
46,elu,"[32, 4, 30]",0.4341322183609009,0.7903226017951965,0.6976743936538696,0.6976743936538696,0.6976743936538696
25,elu,"[64, 16, 20]",0.44590017199516296,0.7903226017951965,0.7441860437393188,0.6808510422706604,0.7111110980863923
